Pitcher Name,player_id,Games Played,IP,Batters Faced,Strikeout,Walks,K%,BB%,Earned Runs,Runs Allowed,Wins,Losses,ERA,Games Started,Avg. Exit Velo.,Sweet Spot%,Barrel%,Hard Hit%,EV50,Adj. EV50,Whiff%,Swing%,GB%
"Olson, Reese",681857,21,103.2,422,103,33,24.4,7.8,46,49,5,7,3.99,18,90.8,36.1,10.9,42.8,80.26090937,95.12316401,27.4,46.3,42.1
"Criswell, Cooper",681867,10,33,151,27,11,17.9,7.3,21,23,1,1,5.73,0,87.1,38.5,5.5,33,75.73877222,93.32552889,17.7,45.8,43.1
"Selby, Colin",681882,21,24,114,30,15,26.3,13.2,24,24,2,2,9,5,88.1,27.5,10.1,42,75.19700471,94.5642975,29.2,42.3,49.3
"Vesia, Alex",681911,56,49.2,217,64,17,29.5,7.8,24,27,2,5,4.35,1,92.1,30.6,8.2,42.5,82.57136227,95.23066371,30.3,50.8,29.1
"Anderson, Grant",681982,26,35.2,154,30,14,19.5,9.1,20,20,2,1,5.05,0,86.7,33,8.3,34.9,74.24859259,93.5872712,21.4,44.5,45.9
"Herrin, Tim",682120,23,27.2,121,32,12,26.4,9.9,17,18,1,1,5.53,0,87.8,34.7,6.7,37.3,77.06899306,93.58308028,26.9,47.5,46.7
"Jacques, Joe",682175,23,26.2,122,20,10,16.4,8.2,15,17,2,1,5.06,1,88.9,22.1,3.5,45.3,76.4580831,94.97090738,17.9,39.7,64
"Williamson, Brandon",682227,23,117,491,98,39,20,7.9,58,63,5,5,4.46,23,90.1,35.8,8.2,41.2,80.07337333,94.38452138,22.1,46.6,37.8
"Miller, Bryce",682243,25,131.1,537,119,26,22.2,4.8,63,64,8,7,4.32,25,90.7,38.7,10.9,42.1,80.53381937,94.75094644,24.1,52.8,34.5
"Uribe, Abner",682842,32,30.2,127,39,20,30.7,15.7,6,8,1,0,1.76,0,89.7,25.4,6,43.3,79.0023303,94.59769631,32.9,40.5,53.7
"Ortiz, Luis",682847,18,86.2,400,59,48,14.8,12,46,50,5,5,4.78,15,92.4,31.6,10,49.1,82.46899764,95.88325434,22.6,45.5,48.5
"Priester, Quinn",682990,10,50,234,36,27,15.4,11.5,43,43,3,3,7.74,8,89.7,32.1,8.3,47,77.78910193,95.15459723,23.3,44.6,53
"Gaddis, Hunter",683769,11,42,182,24,14,13.2,7.7,21,21,2,1,4.5,7,89.3,35,5.7,35,79.70261957,93.7476513,17.1,47.8,27.1
"Battenfield, Peyton",685410,7,34.2,146,27,12,18.5,8.2,20,22,0,5,5.19,6,93.5,36.4,14,50.5,85.02068833,95.86235757,24.7,49.9,42.1
"Sheehan, Emmet",686218,13,60.1,248,64,26,25.8,10.5,33,33,4,1,4.92,11,89.7,34.4,10.8,42,79.76293317,93.98612446,29.4,51.5,33.1
"Willingham, Amos",686294,18,24.1,116,15,9,12.9,7.8,18,18,0,2,6.66,0,92.5,35.2,12.1,52.7,83.61336578,95.61031944,21.3,47.9,35.2
"Waldichuk, Ken",686610,35,141,639,132,71,20.7,11.1,84,93,4,9,5.36,22,88.3,34.7,7.7,38.5,77.10348882,93.79839827,25.1,47.5,41.1
"Brown, Hunter",686613,31,155.2,665,178,55,26.8,8.3,88,94,11,13,5.09,29,90.8,30,10.9,44.4,80.71069057,94.87246225,24.8,46.4,52.2
"La Sorsa, Joe",686747,25,32.2,145,28,9,19.3,6.2,16,16,1,0,4.41,0,85.7,33.3,2,30.4,74.84588059,92.3742099,22.1,46.9,41.2
"Pepiot, Ryan",686752,8,42,159,38,5,23.9,3.1,10,10,2,1,2.14,3,86.7,31.9,8.8,27.4,75.62650273,93.03678679,27.9,50.5,38.1
"Jameson, Drey",686753,15,40.2,174,37,18,21.3,10.3,15,15,3,1,3.32,3,92,33.9,13.6,47.5,81.97254814,95.56807076,30,46,46.6
"White, Brendan",686839,33,40.2,177,44,15,24.9,8.5,23,25,2,3,5.09,2,90.3,33.6,7.1,41.7,79.90483472,94.84211293,29.2,48.3,51.3
"Varland, Louie",686973,17,68,283,71,17,25.1,6,35,35,4,3,4.63,10,91,32,10.8,43.8,80.61709979,94.96514552,25.9,53.8,45.4
"Kelly, Kevin",687330,57,67,276,56,15,20.3,5.4,23,27,5,2,3.09,0,87,32.3,3.6,32.8,75.74672633,93.19039585,22.2,44.7,48.2
"Headrick, Brent",687396,14,25.2,117,30,10,25.6,8.5,18,18,3,0,6.31,0,90.7,47.9,15.1,42.5,80.82138028,94.40767069,24.8,48.2,19.2
"Robertson, Nick",687798,18,22.1,106,26,9,24.5,8.5,15,19,0,1,6.04,1,90.4,35.7,8.6,47.1,79.42648514,95.07036857,29.8,50.5,47.1
"Walter, Brandon",687888,9,23,106,16,7,15.1,6.6,16,17,0,0,6.26,0,85.9,28,7.3,24.4,75.02988732,92.35607329,16,49.6,42.7
"Brieske, Beau",689225,25,35,152,31,12,20.4,7.9,14,14,2,3,3.6,1,87.2,32.1,5.5,32.4,75.47592385,93.54840317,21.9,49.5,43.1
"Dodd, Dylan",689266,7,34.1,164,15,12,9.1,7.3,29,29,2,2,7.6,7,92.6,38.2,12.5,46.3,82.42490265,95.94211141,18.3,53.9,36
"Harrison, Kyle",690986,7,34.2,147,35,11,23.8,7.5,16,19,1,1,4.15,7,89.4,42.3,9.3,38.1,79.6523698,93.85453845,23.6,46.1,27.8
"Pérez, Eury",691587,19,91.1,374,108,31,28.9,8.3,32,35,5,6,3.15,19,89.8,36.1,10.7,40.3,79.35059825,94.44312828,33.7,49.9,27.5
"Woo, Bryan",693433,18,87.2,371,93,31,25.1,8.4,41,44,4,5,4.21,18,87.4,32.5,6.3,33.8,76.28312017,93.34225772,28.1,50.9,40.8
"Elder, Bryce",693821,31,174.2,732,128,63,17.5,8.6,74,79,12,4,3.81,31,89.9,32,6,41,79.50245455,94.39894727,23.5,46.3,50.6
"Palencia, Daniel",694037,27,28.1,119,33,14,27.7,11.8,14,16,5,3,4.45,0,91.4,34.3,7.1,47.1,81.62804588,95.29826746,30.8,48,37.1
"Pfaadt, Brandon",694297,19,96,421,94,26,22.3,6.2,61,63,3,9,5.72,18,90.1,37.2,11.7,44,79.56269168,94.72817381,25,49.3,32.6
"Shuster, Jared",694363,11,52.2,230,30,26,13,11.3,34,34,4,3,5.81,11,89.4,34.7,6.9,38.7,78.88197119,94.19775161,21.6,45.6,35.8
"Stone, Gavin",694813,8,31,152,22,13,14.5,8.6,31,32,1,1,9,4,88.5,38.3,8.7,37.4,77.32263036,93.90618652,30.9,50.8,47
"Miller, Mason",695243,10,33.1,139,38,16,27.3,11.5,14,15,0,3,3.78,6,89.2,35.4,3.7,34.1,80.71864927,93.00596309,26.2,46.3,25.6
"Wicks, Jordan",696136,7,34.2,147,24,11,16.3,7.5,17,17,4,1,4.41,7,88.1,30.4,6.3,33,78.13865546,93.11225991,23.3,46.3,50
"Smith-Shawver, AJ",700363,6,25.1,105,20,11,19,10.5,12,14,1,0,4.26,5,90.3,30.1,9.6,35.6,81.67175243,93.72093151,21.8,45.4,37
"Hartwig, Grant",701643,28,35.1,158,30,15,19,9.5,19,23,5,2,4.84,0,87.1,34.6,6.5,36.4,75.32439642,93.47336264,20.5,42.7,48.6
