Name,W,L,ERA,IP,H,R,ER,HR,BB,SO,HBP,BF,FIP,WHIP
Gavin Stone,1,1,9,31,46,32,31,8,13,22,2,152,6.64,1.903
Cooper Criswell,1,1,5.73,33,40,23,21,6,11,27,4,151,5.35,1.545
Austin Cox*,0,1,4.54,35.2,28,20,18,2,17,33,2,149,3.73,1.262
Trevor Megill,1,0,3.63,34.2,35,14,14,2,12,52,1,148,2.13,1.356
Kyle Harrison*,1,1,4.15,34.2,29,19,16,8,11,35,4,147,5.53,1.154
Jonathan Hernández,1,2,5.4,31.2,35,20,19,4,15,34,4,147,4.55,1.579
JoJo Romero*,4,2,3.68,36.2,29,17,15,1,10,42,1,147,2.22,1.064
Jordan Wicks*,4,1,4.41,34.2,33,17,17,5,11,24,0,147,4.7,1.269
Josh Winder,2,1,4.15,34.2,35,16,16,3,14,28,0,147,3.98,1.413
Peyton Battenfield,0,5,5.19,34.2,34,22,20,7,12,27,0,146,5.36,1.327
Noah Davis,0,4,8.7,30,43,30,29,6,15,26,4,146,6.02,1.933
Ryan Helsley,3,4,2.45,36.2,22,11,10,1,17,52,1,146,2.25,1.064
Kenny Rosenberg*,2,2,3.82,33,35,14,14,3,14,29,1,146,4.04,1.485
Joe La Sorsa*,1,0,4.41,32.2,32,16,16,3,9,28,6,145,4.11,1.255
Dinelson Lamet,1,4,11.71,27.2,42,38,36,7,23,32,1,145,6.83,2.349
Michael Soroka,2,2,6.4,32.1,36,23,23,9,12,29,4,145,6.56,1.485
Spencer Turnbull,1,4,7.26,31,37,26,25,5,15,24,3,145,5.55,1.677
Jesse Chavez,1,0,1.56,34.2,26,10,6,2,12,39,3,144,3.05,1.096
Luke Jackson,2,2,2.97,33.1,26,14,11,3,15,43,1,143,3.29,1.23
Carl Edwards Jr.,1,3,3.69,31.2,31,14,13,1,17,24,1,142,3.86,1.516
Jose A. Ferrer*,3,0,5.03,34,37,19,19,4,13,25,1,142,4.55,1.471
Nick Anderson,4,0,3.06,35.1,30,14,12,3,9,36,0,141,3.09,1.104
