Pick,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP,Draft Year
6,ORL,Mo Bamba,Texas,5,275,4962,2070,1597,247,0.476,0.359,0.681,18,7.5,5.8,0.9,12.6,0.122,0.2,2.8,2018
7,CHI,Wendell Carter Jr.,Duke,5,260,7283,3344,2300,536,0.516,0.321,0.733,28,12.9,8.8,2.1,18.1,0.12,-0.3,3.1,2018
8,CLE,Collin Sexton,Alabama,5,266,8324,5041,768,858,0.464,0.38,0.826,31.3,19,2.9,3.2,7.9,0.045,-2.3,-0.7,2018
9,NYK,Kevin Knox,Kentucky,5,275,4962,2053,801,205,0.385,0.342,0.713,18,7.5,2.9,0.7,0.3,0.003,-4.5,-3.1,2018
10,PHI,Mikal Bridges,Villanova,5,392,12624,5154,1576,912,0.495,0.376,0.857,32.2,13.1,4,2.3,32.1,0.122,1.2,10.3,2018
11,CHO,Shai Gilgeous-Alexander,Kentucky,5,311,10140,6556,1417,1411,0.484,0.347,0.845,32.6,21.1,4.6,4.5,29,0.137,3.2,13.1,2018
12,LAC,Miles Bridges,Michigan State,4,291,8460,3893,1641,656,0.473,0.346,0.809,29.1,13.4,5.6,2.3,16,0.091,-0.2,3.8,2018
13,LAC,Jerome Robinson,Boston College,3,113,1604,514,208,131,0.363,0.31,0.721,14.2,4.5,1.8,1.2,-0.1,-0.003,-4.7,-1.1,2018
14,DEN,Michael Porter Jr.,Missouri,4,187,4878,2843,1104,198,0.506,0.417,0.797,26.1,15.2,5.9,1.1,13.9,0.137,1.4,4.2,2018
15,WAS,Troy Brown Jr.,Oregon,5,297,5951,1949,1144,448,0.429,0.354,0.772,20,6.6,3.9,1.5,7.8,0.063,-1.7,0.5,2018
16,PHO,Zhaire Smith,Texas Tech,2,13,143,48,15,12,0.378,0.316,0.667,11,3.7,1.2,0.9,0,0.011,-6.1,-0.1,2018
